Series1 Series2
75.7 NA
79 NA
119 NA
127.9 NA
120.8 NA
120.9 NA
112.3 NA
106.4 NA
102.5 NA
94.6 NA
75.8 NA
73.5 NA
62.6 NA
68.1 NA
89 NA
101.1 NA
103.4 NA
94.8 NA
86.3 NA
93.7 NA
84.9 NA
81.6 NA
73.9 NA
58.7 NA
59.7 NA
58.8 NA
92.7 NA
94 NA
105.3 NA
104.5 NA
92.8 NA
108.6 NA
90.4 NA
98.3 NA
87.4 NA
71.7 NA
73.2 NA
74.6 NA
101.4 NA
120.8 NA
117.5 NA
107 NA
105.8 NA
111 NA
95.2 NA
107.6 NA
94.5 NA
78 NA
84.4 NA
78.7 NA
108.8 NA
131.5 NA
138.7 NA
118.7 NA
121.9 NA
115 NA
114.7 NA
127.8 NA
98.6 NA
96.1 NA
86.4 NA
90.9 NA
119.2 NA
128.8 NA
122.9 NA
124.8 NA
119.5 NA
108.4 NA
107.6 NA
106.6 NA
90.6 NA
80 NA
74.3 NA
75.4 NA
115.7 NA
120.6 NA
115 NA
122 NA
108.6 NA
108.9 NA
104.2 NA
105.7 NA
99.3 NA
90.1 NA
76 NA
73.1 NA
117.8 NA
114.1 NA
107 NA
95 NA
77.4 NA
79.3 NA
65.9 NA
61.3 NA
56.1 NA
48.9 NA
58.5 NA
57 NA
91.4 NA
99.5 NA
111.2 NA
115.5 NA
97.1 NA
110.6 NA
103.4 NA
111.8 NA
99.8 NA
85.2 NA
74.4 88.1
90.2 83.1
117.5 94.9
134.8 102.4
132.8 111.3
116.2 104.5
120.1 117.3
115.7 118.4
118.2 135.6
129.9 127.8
106.1 114.3
97.3 122.1
94.1 88.8
96.2 96
121.7 114.9
149.3 98.8
128.6 118
125.5 131.7
114 118.6
106.1 126.4
106.8 133.8
111.1 136.4
84.4 113.1
85.9 122.7
67.5 105.1
72.9 97.1
99.5 95.8
125.5 103.4
122 107.5
129 130.7
118.3 117.3
113.7 147.5
121 128.9
136.3 141
113.1 120.5
132.6 123.5
98.8 107.3
104.1 98.4
157.6 108.2
175.3 133.2
180.9 133.7
186 144.3
177.6 145.6
174.5 171.4
168.6 169.9
169 174.6
165.1 153
167.1 166.5
137.3 145.3
148.1 143.5
191.1 144.9
191.8 148.4
206.9 153.4
214.6 173.9
179.6 162.8
206.4 189.7
190.6 193
201.1 193.6
176.8 164.3
174.6 191.1
152.1 161.6
145.7 143.5
184.4 163
185.4 167.1
191.7 182.2
193.7 202.1
157.3 172.7
162.9 185.8
125.2 188.1
122.9 198.8
107.2 164.6
91.1 171
87.5 143.2
86.7 131.2
120.1 136.9
130.9 137.7
116.5 137.3
102.2 166.5
95.5 142.2
81.7 147
66.8 151.1
71.1 155.9
55.1 138.5
60.3 141
43.5 117.4
45.2 91.8
60.5 99.2
89.3 92.3
91.2 107.2
94 109.9
98.7 107.4
85.3 115.8
90.6 122.9
95.2 110.7
73.2 121.6
72.5 120.9
67.6 91.5
73.4 89.2
110.6 100.7
117 95.8
112.7 113.5
122.7 120.8
113.7 115.6
116.9 126
125.8 128.4
117.5 132.4
114 129.8
104.2 133.5
80.2 103.4
97.3 109.7
158.2 122.1
161.2 112.1
162.3 121.4
175.9 145
145.7 142.6
164.5 155.3
144.2 172.2
146.1 162.4
135.9 159.1
118.4 151.9
97.2 125.8
105.7 115.9
166.5 132.9
175.3 136
177.9 146.1
200.2 167.3
151.9 166.5
159.3 177.7
152.4 180.8
160.7 180
138 167.4
115.4 171.2
88.1 130
91.7 126.1
151.3 149.2
147.1 141.8
164.1 154.9
156.3 165.6
138.9 150
151.9 159.1
140.7 180
140.5 173.9
99.6 166
81.6 174.2
76.8 124.9
77.9 126.4
83.2 129.9
77.3 135
79 119.8
103.1 131.8
115.5 125.1
118.2 127.9
144.3 116.6
129.3 120.3
96.8 114.3
89.2 129.5
72.8 87.9
74.4 93.8
103.3 105.6
113.3 111.3
102.3 97.7
95.4 123.1
85.9 111.6
75.9 109.8
82.5 110.2
66.8 116.7
54.9 92.6
58.1 105.5
47.6 72.5
52.4 63.1
81 73
82.7 74.9
82.2 85.5
89.4 85.2
92.2 85.6
82.4 90.2
101.2 84
99.7 102.2
93.2 93.6
96.5 95.7
83.7 81.9
93.4 77.3
135.5 87.7
138.8 90.9
150.7 105.8
173.2 122.6
148.6 119.6
155.5 155
149.5 133.5
142.6 152.9
124.7 124.9
108.9 138.4
114.1 112
130.1 109.3
152.3 119.4
161 126.8
169.4 142.7
172.3 156.5
141.5 146.1
142.6 150.8
131.9 146.4
137.3 159.1
122.9 133.5
106.5 149.5
106.4 119.2
104.4 120.9
146 125.2
160.8 127.1
168.9 131.7
156.5 163.4
158.4 147.1
159.5 154.4
168.8 158.2
157.5 150.6
118.6 143.2
127.5 162.2
118.3 122.3
111.1 118.1
152.8 133
182.2 129.2
170.2 147.9
173.7 149.9
167.1 150.5
146.5 159.2
153.7 157.2
150.2 167.3
110.3 147
133.4 174.7
101 136.7
102 117.8
152.1 126.4
157.9 135.6
137.3 131.4
157.5 148.1
142 143.6
128.9 151.7
136.5 143.5
124 149.2
102.2 130.1
93.4 154.7
71.7 110.3
93.3 99.9
140.4 121
135.3 125.8
138.7 115.3
153.9 135.6
121.7 131
137.3 143.4
127.9 137.7
124 144.9
110 117.8
101.4 147.1
88.5 111.3
86 105.1
116.4 106.7
122.9 121.9
135.2 112.9
137.2 117.9
108.3 120.5
125.6 134.8
110.7 122.9
116.5 123.7
98.9 123.4
92.3 121.5
112.6 107.4
82.8 88.9
111 102.3
105.8 101.3
107.9 107.4
111.6 113.4
96.2 111.9
99.8 120.7
79.2 122.4
82.5 119.2
67.8 102.5
53.6 110.6
51.5 82.1
54.1 72.5
78.7 87.7
90.9 84.3
98.3 82.5
93.2 99.1
91.3 91.9
84.9 98.7
80.6 109.3
89.8 102
67.1 85.7
68.5 95.1
67.9 74.2
72.6 76.8
97.7 82.9
103.9 82.5
97.1 94.4
109.2 105
101.1 105.3
93 105.8
99.2 105.5
97.1 108.2
76.4 102
79.5 114.9
67.1 80.7
73.1 81.6
99.1 82.4
107.3 90.8
101.7 90.3
117.8 104.7
104.5 93.7
111.9 115.7
111.5 107.7
107 118
98.1 106.3
100.1 120.8
80.7 86.5
81.7 89.6
126.4 94.1
127.6 103.6
131.4 115.6
138.8 117.1
114.8 108.9
131.5 124
127.2 128.5
117 130.5
100.5 116.4
94.2 132.3
78 100.2
80.4 86.1
111.5 105.1
109.7 101.5
122.8 107.8
129.3 108.7
115.6 115.5
133.5 115.5
124.1 115.5
122.2 125.4
107.8 116
97.4 115.3
88.3 99.3
96 91
120.4 103.1
140.1 101.9
140.5 114.6
131.4 125.9
135.1 126.3
129.1 134.1
121.1 122.1
123.7 129.9
100.7 122.7
99.2 141.8
88.1 95.7
94.1 104.8
120.1 109.6
137.2 110.8
131.6 113.6
133.6 113.8
133.7 112.8
126 121.2
134.4 129.3
135.5 128.8
100.4 123.4
106.4 136.5
96.2 91.5
107.4 97.7
140.9 111.2
146.3 115.3
138.2 118.9
153.4 127.7
149.3 133.6
144.7 138.6
141.7 130.9
149.8 133.3
119.9 139
124.5 136.6
105.7 112.4
114.7 100.5
154.6 128.2
151.8 122.3
145.1 132.4
169.3 142.8
149.1 137.3
151.9 142.4
137.3 146.4
137.6 144.2
125.6 140.2
120.9 155.9
107.3 110
121.8 116.1
153.7 130.6
138.9 124.4
148.9 136.5
155.1 133.5
129.8 126.9
146.8 144
131.4 135.5
134.8 136.9
121 135.1
102.9 144.1
117 100
114.3 106.1
147.7 114.4
148.6 121.5
159.8 122
153.9 143.9
140.6 134.7
151.4 148.5
125.2 137.2
140.2 143.6
124.4 136.7
113.6 162.3
115.7 112.3
122.5 115.2
143.2 121.2
156 127.3
164.2 139.4
158 138.2
159.3 136.6
153.7 158.3
149.5 146.6
162.9 143.2
126.8 149.7
135.8 160.4
126.4 113.3
128.5 115.7
148.4 125.4
167.6 129.5
169.5 142.9
175.8 144.2
173 141.6
169.9 143.2
169.1 152.5
182.8 155.4
130.5 148.5
147.9 166.4
132 118.6
137.1 119.5
190.7 137
192.5 152
188.4 159.5
197.1 162.1
185.9 159
185.2 176.6
174.9 158.2
174.5 165.1
156.4 150.4
155.2 184.1
139.7 130.9
149.4 132
190.5 135.7
193.2 150.7
193.1 176.3
211.9 171
185.5 158.5
208 178.3
193.7 172
176 175.7
162.9 162.8
151.3 187.5
152.6 142.4
151 141.7
194.2 169.2
168.6 160.3
184.4 158.8
184.2 179.6
148 163.6
161.2 170.4
136.6 180.9
133.1 172.5
111.4 158.9
113.6 181.1
114.1 127.3
112.1 112.5
139.4 122.8
130.9 118.9
146 129.5
135.6 131.2
122.5 129
126 136.9
100.5 123.2
103.8 126
89.5 118.7
77.8 126.8
77.4 93.5
75 87
79.1 89.8
91.5 79.6
92.3 96.5
110.6 99.7
85.9 91.5
76.3 94.5
70.9 104.2
63.7 94.1
41.5 91.5
41.2 97.8
37.6 54.7
39.2 56.5
45.4 62.1
47.8 65.5
49.5 68.1
61.3 70.3
56.1 66.4
54 73.9
52.9 64.4
47.9 67.4
42.1 72.6
49.2 72.4
40.4 46.3
45.3 45.4
64.1 48.6
58.9 57.7
51.1 58.7
59.2 77.7
51.6 48.2
53.7 54.6
48.5 56.7
43.5 54.8
40.9 48.3
47.6 54.7
36.3 35
37.7 42
54.4 43.8
50.7 42.2
57.3 45.4
63.8 50.5
52.6 53.6
62.6 57.3
53.2 54.7
52 52.1
51.9 50.1
51.6 58.3
47.8 36.4
53.5 39
69.5 44.4
64.1 52.3
77.7 50
75.9 55.1
74.1 58.2
80 64.8
73.7 58.7
77.5 67.7
68.7 57.8
67.2 64.8
65.5 47.5
67.8 49.7
77.7 61.7
92.8 54.6
97.2 58.3
85.7 66
90.2 67
87.1 71.6
83.1 69.7
92.5 73.7
73.5 70.8
77.8 73.8
68.6 56.2
72.3 59.5
86.3 67.6
99.1 63.8
93.8 73.4
95.7 71
97.1 71.9
90.3 86.9
92.7 88.5
98.4 83.7
72.8 71.9
85 89.5
71 65.1
78.6 59.3
92.5 60.5
106 77.1
111.9 83.9
134.8 85.4
103.2 86.3
98.4 92.1
98.3 92.6
99.3 89.5
91 80.9
97.5 95.6
76.2 72.5
86.3 71.2
99.8 78.8
101.9 73.8
110.3 83.5
117.6 97.9
97.9 93.4
111.6 98
111.7 90.2
104 96.7
94.5 100
94.8 103.6
90.6 74.6
86.9 78.9
115.3 92
105 83.4
115.3 98.1
130.8 109.9
102.9 102.2
122.1 102.1
103.3 96.2
116.3 106.9
98.8 95.1
94.8 113.4
98.4 84
93.4 88.6
119.4 94.9
121.5 94.7
126.9 105.7
123.3 108.6
